DCPLX,CCPLX,ICPLX,DATA,REUSE,DOCU,OI,OCAP,DECAP,OEXP,DEEXP,PCON,LEXP,TEXP,TOOL,SITE,SCED,A,Size,Actual Effort
1,0.8826015,0.890523518,1.39,1.105883396,0.628814982,1,1.11367768,1.11367768,1,1,0.9878745,0.945224608,0.945224608,1,1,1,4.174719623,1.377462021,30
1.267815018,1.103337246,1,1.39,1.320967417,1.148700682,0.910070488,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.850922107,16
0.735230822,0.8826015,0.890523518,1.39,0.884676997,0.831109525,0.642950976,1.11367768,1.11367768,1.036836755,1.036836755,0.9955783,1.132516935,1.132516935,1,1,1,4.174719623,4.024945697,2
1.267815018,1.287073001,1,1.39,1.105883396,1.148700682,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.749041462,35
1,1.103337246,0.890523518,1.39,1.105883396,1.148700682,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.788300912,19.25
1.267815018,1.287073001,1,1.39,1.105883396,1.148700682,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.885890548,50.75
1,1,0.890523518,1.39,1.105883396,1.148700682,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.902549982,8.75
1.267815018,1.103337246,1,1.39,1,1,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1,1,4.174719623,0.812656186,11.25
1.267815018,1,0.890523518,1.39,1.105883396,1.283439039,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9955783,1.046267153,1.046267153,1,1,1,4.174719623,0.638722084,4
1.267815018,1,0.74622904,1.39,1,1.148700682,1,0.929646448,0.929646448,0.976362593,0.976362593,1.005532498,1,1,1,1.149924083,1,4.174719623,0.96715981,2.6
1,1,0.74622904,1.39,1,1.148700682,1,0.929646448,0.929646448,0.976362593,0.976362593,1.005532498,1,1,1,1.149924083,1,4.174719623,0.556882533,1
0.735230822,1,0.890523518,1.39,0.884676997,1,1,1,1,1,1,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,0.502015376,3
1.267815018,0.8826015,0.74622904,1.39,0.884676997,1.148700682,0.642950976,1.373785877,1.373785877,1.036836755,1.036836755,0.9878745,1.132516935,1.132516935,1,1.149924083,1,4.174719623,0.76015705,4
1.267815018,0.8826015,0.74622904,1.39,1,1.148700682,0.642950976,1.373785877,1.373785877,1.036836755,1.036836755,0.9878745,1.132516935,1.132516935,1,0.962569595,1,4.174719623,0.723504813,3
1,1.103337246,0.74622904,1.39,1,0.831109525,0.642950976,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1,1,4.174719623,0.62227302,1
1,1.103337246,0.74622904,1.39,0.884676997,0.831109525,0.642950976,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.71473544,1.5
1,1.103337246,0.74622904,1.39,1,0.831109525,0.642950976,1,1,1,1,1,1.046267153,1.046267153,1,1.054312502,1,4.174719623,1.565626155,54
1,1.103337246,0.890523518,1.39,0.884676997,0.628814982,0.642950976,1.373785877,1.373785877,1.119451299,1.119451299,0.9955783,1.046267153,1.046267153,1,1,1,4.174719623,0.729930521,4
